:ID,company,twitter,name,id,image,:LABEL
282,Microsoft,@agoncal,Antonio Goncalves,13311,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-15009991-118a-4670-834a-3c73b9ab4188.png,Speaker
283,BellSoft,@dchuyko,Dmitry Chuyko,12655,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-0bd963d8-7ec6-48e4-acc2-250b37d810cd.png,Speaker
284,Doctolib,,Bertrand Paquet,18859,https://lh3.googleusercontent.com/a-/AOh14GjdJEGqbU6uKp72FuMu0DMcNaFanacgPVhMk5g7mA=s96-c,Speaker
285,Yoink,@jqno,Jan Ouwens,5258,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-bf91e2af-f917-4c98-830e-8723d9d1aa05.jpg,Speaker
286,Teckro,@igfasouza,Igor De Souza,49101,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-c515710e-ebe1-4f54-809b-dd2358b827a4.jpeg,Speaker
287,Mastercard,@rafaDelNero,Rafael del Nero,17902,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-5a73e194-0cdc-4fa7-b3cc-1fc86148e558.jpg,Speaker
288,Redis,@guyroyse,Guy Royse,16722,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-94aa0979-58a4-45bd-a91f-6cf47b5f6c0d.jpg,Speaker
289,Crate.io,@SelakovicMarija,Marija Selakovic,17916,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-ceff97cc-fcc2-40eb-b277-ef36c05a7571.jpeg,Speaker
290,Palo Alto Networks,@phoenixx52,Simon Melotte,17924,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-4f37279d-d403-419e-956c-ac1efcd432c0.jpg,Speaker
291,GitHub,@reddobowen,Chris Reddington,20084,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-25dd8d22-3668-4f2d-b5e8-757660bcfab4.jpeg,Speaker
292,Cegeka NV,,Tim Jacobs,57552,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-d3d476fc-0c5b-439c-a43e-03798112c28b.jpg,Speaker
293,GitPod,@atduarte,André Duarte,61402,https://lh3.googleusercontent.com/a-/ACNPEu-XOcOhJPVb2fWxfHysWWruyhG3cCMmfMujA08=s96-c,Speaker
294,DDSoft,@DennieDeclercq,Dennie Declercq,18861,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-ed94eba7-a330-4339-8773-3367bfd49fe3.jpg,Speaker
295,Red Hat,@danieloh30,Daniel Oh,3902,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-1a62f608-5d7a-46aa-82df-dffb52d6f248.jpeg,Speaker
296,Lightbend,@aludwiko,Andrzej Ludwikowski,2558,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-0a938836-c5dc-47c1-8cc9-cfed5d7452ce.jpg,Speaker
297,Google,@luke_wood_ml,Luke Wood,49401,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-6dabad08-b590-492e-a8d4-be65fa81979f.jpg,Speaker
298,Sonatype,@t_mammarella,Theresa Mammarella,16064,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-7897b7dd-05eb-4b6a-85d5-c089e605e46e.jpg,Speaker
